CityNumber,CityName,Country,Max Temperature,Latitude,Longitude,Humidity (%),Cloudness (%),WindSpeed
3424607,Tasiilaq,GL,17.6,65.61,-37.64,52,0,8.05
1160571,Khash,IR,38.72,28.22,61.21,85,64,3.15
962367,Richards Bay,ZA,69.09,-28.77,32.06,86,64,4.05
468776,Yashalta,RU,27.38,46.34,42.27,90,88,16.35
2068655,Katherine,AU,91.4,-14.47,132.26,52,0,4.7
470905,Vuktyl,RU,-3.41,63.86,57.31,74,88,6.4
2022773,Khandyga,RU,-35.81,62.65,135.58,0,44,2.82
2243271,Cabinda,AO,76.43,-5.56,12.19,100,100,6.4
2023469,Markova,RU,-13.49,52.21,104.21,60,0,3.04
3170694,Pinerolo,IT,33.8,44.89,7.33,74,0,3.36
934479,Grand Gaube,MU,78.8,-20.01,57.66,94,75,10.29
2122104,Petropavlovsk-Kamchatskiy,RU,14.0,53.05,158.65,56,12,6.71
934322,Mahebourg,MU,78.8,-20.41,57.7,94,75,10.29
3378644,Georgetown,GY,80.6,6.8,-58.16,83,75,13.87
3671450,Inirida,CO,74.36,3.87,-67.92,92,0,1.7
3115824,Muros,ES,42.8,42.77,-9.06,100,0,2.24
901344,Sokoni,CD,66.26,-12.89,28.78,99,92,3.27
2112802,Hasaki,JP,46.4,35.73,140.83,33,20,12.75
628155,Haradok,BY,7.44,55.46,29.99,84,36,2.15
3437029,San Patricio,PY,82.01,-26.98,-56.83,78,44,8.41
4031574,Provideniya,RU,5.73,64.42,-173.23,100,0,26.87
535839,Leshukonskoye,RU,17.75,64.9,45.76,86,92,8.97
2240449,Luanda,AO,76.56,-8.83,13.24,100,92,5.95
6147353,Sicamous,CA,32.0,50.84,-118.99,62,90,2.15
5445338,Elkhart,US,55.58,37.01,-101.89,66,1,25.28
360502,Luxor,EG,46.4,25.7,32.65,70,0,3.94
1697332,Ocampo,PH,75.44,13.56,123.37,100,100,11.99
2457163,Gao,ML,61.13,16.28,-0.04,55,88,11.21
1168312,Pasni,PK,68.87,25.26,63.48,100,0,7.07
6089245,Norman Wells,CA,-22.01,65.28,-126.83,74,20,2.24
3354077,Opuwo,NA,58.38,-18.06,13.84,63,0,4.38
6071876,Melfort,CA,21.2,52.87,-104.61,92,90,10.29
504717,Filimonovo,RU,9.83,54.21,39.6,82,64,4.72
3615745,Waslala,NI,70.58,13.33,-85.37,91,88,4.05
3418910,Upernavik,GL,4.88,72.79,-56.15,100,8,11.65
6941099,Mahendranagar,IN,53.48,28.02,81.63,95,92,3.6
2069194,Jamestown,AU,78.41,-33.21,138.6,35,80,5.61
584471,Abdulino,RU,7.76,53.68,53.66,67,64,4.83
5354943,Half Moon Bay,US,59.0,37.46,-122.43,87,90,16.11
602150,Umea,SE,35.6,63.83,20.26,83,0,9.17
787487,Poum,MK,6.36,41.28,20.71,78,56,1.92
1853483,Oyama,JP,42.8,36.31,139.8,38,20,2.24
2221046,Madimba,CM,77.0,4.42,9.93,94,75,3.36
6049379,Langenburg,CA,31.16,50.84,-101.7,95,88,15.23
3372707,Ribeira Grande,PT,63.78,38.52,-28.7,97,88,21.27
359783,Asyut,EG,41.0,27.18,31.19,65,0,4.7
3366880,Hermanus,ZA,51.14,-34.42,19.24,95,0,3.15
3412093,Vestmannaeyjar,IS,39.53,63.44,-20.27,100,88,5.39
3639898,Guatire,VE,78.8,10.47,-66.54,78,0,2.04
6156307,Stettler,CA,24.36,52.32,-112.71,84,92,16.58
1562414,Vung Tau,VN,81.56,10.35,107.08,89,0,24.85
3496831,Mao,DO,75.2,19.55,-71.08,94,40,6.93
3471451,Arraial do Cabo,BR,78.14,-22.97,-42.02,83,64,19.48
3833367,Ushuaia,AR,39.2,-54.81,-68.31,100,40,23.04
3453439,Ponta do Sol,BR,61.85,-20.63,-46.0,92,8,2.59
258175,Lixourion,GR,50.15,38.2,20.43,100,48,17.92
